Year,Province name,Election,Registered voters in province,Valid votes in province,Invalid votes in province,"Candidate names, President and Vice President",Candidate pair number,Number of valid votes for each candidate pair,Elected to the presidency
2024,Papua Barat Daya,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"99,899",0
2024,Papua Selatan,President & Vice President,"367,269","314,761","5,625",,,,
2024,Papua Selatan,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"41,906",0
2024,Papua Selatan,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"162,852",1
2024,Papua Selatan,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"110,003",0
2024,Papua Tengah ,President & Vice President,"1,128,844",1102282,,,,,
2024,Papua Tengah ,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,128577,0
2024,Papua Tengah ,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,638616,1
2024,Papua Tengah ,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,335089,0
2024,Papua Pegunungan,President & Vice President,"1,306,414",1298522,8218,,,,
2024,Papua Pegunungan,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,284184,0
2024,Papua Pegunungan,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,838382,1
2024,Papua Pegunungan,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,175956,0
2024,Riau,President & Vice President,"4,732,174","3,688,504","60,426",,,,
2024,Riau,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"1,400,093",0
2024,Riau,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"1,931,113",1
2024,Riau,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"357,298",0
2024,Sulawesi Barat,President & Vice President,"985,760",819424,"12,645",,,,
2024,Sulawesi Barat,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"223,153",0
2024,Sulawesi Barat,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"533,757",1
2024,Sulawesi Barat,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"62,514",0
2024,Sulawesi Selatan ,President & Vice President,"6,670,582",5279755,"94,598",,,,
2024,Sulawesi Selatan ,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,2003081,0
2024,Sulawesi Selatan ,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,3010726,1
2024,Sulawesi Selatan ,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,265948,0
2024,Sulawesi Tengah ,President & Vice President,"2,236,703","1,798,650","23,792",,,,
2024,Sulawesi Tengah ,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"386,743",0
2024,Sulawesi Tengah ,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"1,251,313",1
2024,Sulawesi Tengah ,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"160,594",0
2024,Sulawesi Tenggara,President & Vice President,"1,867,931","1,565,656","25,263",,,,
2024,Sulawesi Tenggara,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"361,585",0
2024,Sulawesi Tenggara,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"1,113,344",1
2024,Sulawesi Tenggara,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"90,727",0
2024,Sulawesi Utara ,President & Vice President,"1,969,603","1,631,968","15,037",,,,
2024,Sulawesi Utara ,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"119,103",0
2024,Sulawesi Utara ,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"1,229,069",1
2024,Sulawesi Utara ,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"283,796",0
2024,Sumatera Barat,President & Vice President,"4,088,606","3,085,400","42,946",,,,
2024,Sumatera Barat,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"1,744,042",0
2024,Sumatera Barat,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"1,217,314",1
2024,Sumatera Barat,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"124,044",0
2024,Sumatera Selatan,President & Vice President,"6,326,348","5,253,631","182,496",,,,
2024,Sumatera Selatan,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"997,299",0
2024,Sumatera Selatan,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"3,649,651",1
2024,Sumatera Selatan,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"606,681",0
2024,Sumatera Utara,President & Vice President,"10,853,940","7,999,556","150,232",,,,
2024,Sumatera Utara,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"2,339,620",0
2024,Sumatera Utara,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"4,660,408",1
2024,Sumatera Utara,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"999,528",0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
