Year,Province name,District number,Election ,Registered voters in district,Valid votes in district,Invalid votes in district,Party name,Party number,Party number of votes,Number of DPR seats,,,,,,,,,,,,,,,
2014,DKI Jakarta ,2,DPR,,,,Partai Bulan Bintang ,14,"19,005",,,,,,,,,,,,,,,,
2014,DKI Jakarta ,2,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"10,444",,,,,,,,,,,,,,,,
2014,DKI Jakarta ,3,DPR,"2,769,005",1742471,141524,,,,,,,,,,,,,,,,,,,
2014,DKI Jakarta ,3,DPR,,,,Partai Nasional Demokrat,1,"119,147",1,,,,,,,,,,,,,,,
2014,DKI Jakarta ,3,DPR,,,,Partai Kebangkitan Bangsa,2,"55,318",,,,,,,,,,,,,,,,
2014,DKI Jakarta ,3,DPR,,,,Partai Keadilan Sejahtera ,3,"138,399",1,,,,,,,,,,,,,,,
2014,DKI Jakarta ,3,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"615,225",3,,,,,,,,,,,,,,,
2014,DKI Jakarta ,3,DPR,,,,Partai Golongan Karya ,5,"143,048",1,,,,,,,,,,,,,,,
2014,DKI Jakarta ,3,DPR,,,,Partai Gerakan Indonesia Raya ,6,"201,376",1,,,,,,,,,,,,,,,
2014,DKI Jakarta ,3,DPR,,,,Partai Demokrat,7,"92,272",,,,,,,,,,,,,,,,
2014,DKI Jakarta ,3,DPR,,,,Partai Amanat Nasional ,8,"62,146",,,,,,,,,,,,,,,,
2014,DKI Jakarta ,3,DPR,,,,Partai Persatuan Pembangunan ,9,"173,436",1,,,,,,,,,,,,,,,
2014,DKI Jakarta ,3,DPR,,,,Partai Hati Nurani Rakyat ,10,"117,344",,,,,,,,,,,,,,,,
2014,DKI Jakarta ,3,DPR,,,,Partai Bulan Bintang ,14,"16,820",,,,,,,,,,,,,,,,
2014,DKI Jakarta ,3,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"7,940",,,,,,,,,,,,,,,,
2014,Gorontalo,1,DPR,797622,636654,26971,,,,,,,,,,,,,,,,,,,
2014,Gorontalo,1,DPR,,,,Partai Nasional Demokrat,1,"20,930",,,,,,,,,,,,,,,,
2014,Gorontalo,1,DPR,,,,Partai Kebangkitan Bangsa,2,"13,285",,,,,,,,,,,,,,,,
2014,Gorontalo,1,DPR,,,,Partai Keadilan Sejahtera ,3,"26,499",,,,,,,,,,,,,,,,
2014,Gorontalo,1,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"40,606",,,,,,,,,,,,,,,,
2014,Gorontalo,1,DPR,,,,Partai Golongan Karya ,5,"310,790",2,,,,,,,,,,,,,,,
2014,Gorontalo,1,DPR,,,,Partai Gerakan Indonesia Raya ,6,"49,342",1,,,,,,,,,,,,,,,
2014,Gorontalo,1,DPR,,,,Partai Demokrat,7,"47,662",,,,,,,,,,,,,,,,
2014,Gorontalo,1,DPR,,,,Partai Amanat Nasional ,8,"41,222",,,,,,,,,,,,,,,,
2014,Gorontalo,1,DPR,,,,Partai Persatuan Pembangunan ,9,"31,114",,,,,,,,,,,,,,,,
2014,Gorontalo,1,DPR,,,,Partai Hati Nurani Rakyat ,10,"36,640",,,,,,,,,,,,,,,,
2014,Gorontalo,1,DPR,,,,Partai Bulan Bintang ,14,"16,172",,,,,,,,,,,,,,,,
2014,Gorontalo,1,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"2,392",,,,,,,,,,,,,,,,
2014,Jambi,1,DPR,2446745,1691958,270646,,,,,,,,,,,,,,,,,,,
2014,Jambi,1,DPR,,,,Partai Nasional Demokrat,1,"98,336",,,,,,,,,,,,,,,,
2014,Jambi,1,DPR,,,,Partai Kebangkitan Bangsa,2,"105,551",1,,,,,,,,,,,,,,,
2014,Jambi,1,DPR,,,,Partai Keadilan Sejahtera ,3,"70,303",,,,,,,,,,,,,,,,
2014,Jambi,1,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"274,143",1,,,,,,,,,,,,,,,
2014,Jambi,1,DPR,,,,Partai Golongan Karya ,5,"288,724",1,,,,,,,,,,,,,,,
2014,Jambi,1,DPR,,,,Partai Gerakan Indonesia Raya ,6,"193,970",1,,,,,,,,,,,,,,,
2014,Jambi,1,DPR,,,,Partai Demokrat,7,"235,471",1,,,,,,,,,,,,,,,
2014,Jambi,1,DPR,,,,Partai Amanat Nasional ,8,"179,438",1,,,,,,,,,,,,,,,
2014,Jambi,1,DPR,,,,Partai Persatuan Pembangunan ,9,"104,628",1,,,,,,,,,,,,,,,
2014,Jambi,1,DPR,,,,Partai Hati Nurani Rakyat ,10,"85,439",,,,,,,,,,,,,,,,
2014,Jambi,1,DPR,,,,Partai Bulan Bintang ,14,"39,203",,,,,,,,,,,,,,,,
2014,Jambi,1,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"16,752",,,,,,,,,,,,,,,,
2014,Jawa Barat,1,DPR,"2,043,116","1,430,718",108967,,,,,,,,,,,,,,,,,,,
2014,Jawa Barat,1,DPR,,,,Partai Nasional Demokrat,1,"96,979",,,,,,,,,,,,,,,,
2014,Jawa Barat,1,DPR,,,,Partai Kebangkitan Bangsa,2,"56,098",,,,,,,,,,,,,,,,
2014,Jawa Barat,1,DPR,,,,Partai Keadilan Sejahtera ,3,"165,442",1,,,,,,,,,,,,,,,
2014,Jawa Barat,1,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"329,095",2,,,,,,,,,,,,,,,
2014,Jawa Barat,1,DPR,,,,Partai Golongan Karya ,5,"149,982",1,,,,,,,,,,,,,,,
2014,Jawa Barat,1,DPR,,,,Partai Gerakan Indonesia Raya ,6,"220,728",1,,,,,,,,,,,,,,,
2014,Jawa Barat,1,DPR,,,,Partai Demokrat,7,"115,236",1,,,,,,,,,,,,,,,
2014,Jawa Barat,1,DPR,,,,Partai Amanat Nasional ,8,"63,390",,,,,,,,,,,,,,,,
2014,Jawa Barat,1,DPR,,,,Partai Persatuan Pembangunan ,9,"90,496",,,,,,,,,,,,,,,,
2014,Jawa Barat,1,DPR,,,,Partai Hati Nurani Rakyat ,10,"99,538",1,,,,,,,,,,,,,,,
2014,Jawa Barat,1,DPR,,,,Partai Bulan Bintang ,14,"34,090",,,,,,,,,,,,,,,,
2014,Jawa Barat,1,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"9,644",,,,,,,,,,,,,,,,
2014,Jawa Barat,2,DPR,"3,571,838","2,422,939",263319,,,,,,,,,,,,,,,,,,,
2014,Jawa Barat,2,DPR,,,,Partai Nasional Demokrat,1,"118,981",,,,,,,,,,,,,,,,
2014,Jawa Barat,2,DPR,,,,Partai Kebangkitan Bangsa,2,"164,779",1,,,,,,,,,,,,,,,
2014,Jawa Barat,2,DPR,,,,Partai Keadilan Sejahtera ,3,"188,925",1,,,,,,,,,,,,,,,
2014,Jawa Barat,2,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"458,909",2,,,,,,,,,,,,,,,
2014,Jawa Barat,2,DPR,,,,Partai Golongan Karya ,5,"431,915",2,,,,,,,,,,,,,,,
2014,Jawa Barat,2,DPR,,,,Partai Gerakan Indonesia Raya ,6,"274,411",1,,,,,,,,,,,,,,,
2014,Jawa Barat,2,DPR,,,,Partai Demokrat,7,"309,279",1,,,,,,,,,,,,,,,
2014,Jawa Barat,2,DPR,,,,Partai Amanat Nasional ,8,"136,765",1,,,,,,,,,,,,,,,
2014,Jawa Barat,2,DPR,,,,Partai Persatuan Pembangunan ,9,"120,748",,,,,,,,,,,,,,,,
2014,Jawa Barat,2,DPR,,,,Partai Hati Nurani Rakyat ,10,"143,900",1,,,,,,,,,,,,,,,
2014,Jawa Barat,2,DPR,,,,Partai Bulan Bintang ,14,"58,854",,,,,,,,,,,,,,,,
2014,Jawa Barat,2,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"15,473",,,,,,,,,,,,,,,,
2014,Jawa Barat,3,DPR,"2,306,396","1,486,032",183417,,,,,,,,,,,,,,,,,,,
2014,Jawa Barat,3,DPR,,,,Partai Nasional Demokrat,1,"63,780",,,,,,,,,,,,,,,,
2014,Jawa Barat,3,DPR,,,,Partai Kebangkitan Bangsa,2,"89,244",1,,,,,,,,,,,,,,,
2014,Jawa Barat,3,DPR,,,,Partai Keadilan Sejahtera ,3,"157,667",1,,,,,,,,,,,,,,,
2014,Jawa Barat,3,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"243,176",1,,,,,,,,,,,,,,,
2014,Jawa Barat,3,DPR,,,,Partai Golongan Karya ,5,"254,742",2,,,,,,,,,,,,,,,
2014,Jawa Barat,3,DPR,,,,Partai Gerakan Indonesia Raya ,6,"133,647",1,,,,,,,,,,,,,,,
2014,Jawa Barat,3,DPR,,,,Partai Demokrat,7,"222,686",1,,,,,,,,,,,,,,,
