Year,Election,Province,District Number,Party,Candidate name,"Candidate Gender L=Male, P=Female",Candidate list position
2024,DPR,ACEH ,ACEH I,PKN,NELY INDRAWATI,PEREMPUAN,5
2024,DPR,ACEH ,ACEH I,Golkar,"NENI RUMIANTI DAULAY, S.E.",PEREMPUAN,6
2024,DPR,ACEH ,ACEH I,PKN,NOLA NOLIA,PEREMPUAN,6
2024,DPR,ACEH ,ACEH I,PKS,"Ns. SINTA NELYSA, S.Kep.",PEREMPUAN,6
2024,DPR,ACEH ,ACEH I,PBB,"NURATIAH HANIM, A.Md.Kep.",PEREMPUAN,3
2024,DPR,ACEH ,ACEH I,Demokrat,NURHAYATI,PEREMPUAN,3
2024,DPR,ACEH ,ACEH I,Hanura,"Prof. Dr. BACHTIAR ALY, M.A.",LAKI - LAKI,1
2024,DPR,ACEH ,ACEH I,PDIP,PUSPITA FIRDA OKTYANI,PEREMPUAN,6
2024,DPR,ACEH ,ACEH I,Garuda,PUTRI CHOIRUN NISYA,PEREMPUAN,2
2024,DPR,ACEH ,ACEH I,PSI,Qausar Harta Yudana,LAKI - LAKI,1
2024,DPR,ACEH ,ACEH I,PKS,RAFLY KANDE,LAKI - LAKI,2
2024,DPR,ACEH ,ACEH I,PDIP,"RIFKI TAJUDDIN, S.E.",LAKI - LAKI,4
2024,DPR,ACEH ,ACEH I,Demokrat,RIZQA ZANIA,PEREMPUAN,6
2024,DPR,ACEH ,ACEH I,Buruh,Rosmana Dewi,PEREMPUAN,3
2024,DPR,ACEH ,ACEH I,PKS,"SAID MUSTAJAB, S.Sos.",LAKI - LAKI,5
2024,DPR,ACEH ,ACEH I,PPP,SAID SAIFUL AL MAHDALI,LAKI - LAKI,6
2024,DPR,ACEH ,ACEH I,PBB,"SALAMUN, S.E.",LAKI - LAKI,7
2024,DPR,ACEH ,ACEH I,PBB,"SALAWATI DAHLAN M.S., S.E.",PEREMPUAN,4
2024,DPR,ACEH ,ACEH I,Buruh,"Sayed Masykur, S.T.",LAKI - LAKI,4
2024,DPR,ACEH ,ACEH I,Garuda,SETYANI LARASATI,PEREMPUAN,6
2024,DPR,ACEH ,ACEH I,Buruh,Siti Sundari,PEREMPUAN,7
2024,DPR,ACEH ,ACEH I,Perindo,SIWI ASRI MOPRIRATNA,PEREMPUAN,6
2024,DPR,ACEH ,ACEH I,PSI,SLAMET SATYAWATI,PEREMPUAN,7
2024,DPR,ACEH ,ACEH I,PDIP,SOFYAN DAWOOD,LAKI - LAKI,1
2024,DPR,ACEH ,ACEH I,Hanura,SRI ARIANA NINGSIH,PEREMPUAN,6
2024,DPR,ACEH ,ACEH I,PKS,SRI WAHYUNI,PEREMPUAN,7
2024,DPR,ACEH ,ACEH I,PSI,Suci Nur Maizaroh,PEREMPUAN,6
2024,DPR,ACEH ,ACEH I,Nasdem,"SUPRIJAL YUSUF, S.H.",LAKI - LAKI,7
2024,DPR,ACEH ,ACEH I,Nasdem,"T. ISKANDAR DAOD, S.E., M.Si.",LAKI - LAKI,5
2024,DPR,ACEH ,ACEH I,Garuda,"T. ISKANDAR, S.T.",LAKI - LAKI,5
2024,DPR,ACEH ,ACEH I,Golkar,T. M. ALI TAR,LAKI - LAKI,7
2024,DPR,ACEH ,ACEH I,PKB,"TEUKU HAMZAH HUSEN, S.E., M.M.",LAKI - LAKI,4
2024,DPR,ACEH ,ACEH I,Demokrat,TEUKU RASSYA I. PASYA,LAKI - LAKI,7
2024,DPR,ACEH ,ACEH I,Nasdem,"TEUNGKU RAZUAN, S.H.",LAKI - LAKI,4
2024,DPR,ACEH ,ACEH I,Gelora,TGK KHALIDI AL-DJADAMI,LAKI - LAKI,2
2024,DPR,ACEH ,ACEH I,PKB,"Tgk. H. SYARIFUDDIN, M.A.",LAKI - LAKI,7
2024,DPR,ACEH ,ACEH I,Demokrat,"Tgk. HARMEN NURIQMAR, S.S.",LAKI - LAKI,5
2024,DPR,ACEH ,ACEH I,PKB,"Tgk. MUJLISAL, S.Ag.",LAKI - LAKI,5
2024,DPR,ACEH ,ACEH I,PKN,YANTI OCTAVIA,PEREMPUAN,4
2024,DPR,ACEH ,ACEH I,PKN,"YUDI KURNIA, S.E.",LAKI - LAKI,1
2024,DPR,ACEH ,ACEH I,PDIP,YUNIATI,PEREMPUAN,3
2024,DPR,ACEH ,ACEH I,Gerindra,ZAITUN MHD,LAKI - LAKI,7
2024,DPR,ACEH ,ACEH I,Buruh,Zarlina,PEREMPUAN,5
2024,DPR,ACEH ,ACEH I,PAN,ZULFITRI ARIFIN,LAKI - LAKI,7
2024,DPR,ACEH ,ACEH II,Buruh,Abdi Hasan Subari,LAKI - LAKI,4
2024,DPR,ACEH ,ACEH II,Demokrat,"ADE REZA MEUTIA, S.Tr.Keb.",PEREMPUAN,6
2024,DPR,ACEH ,ACEH II,Nasdem,"AGUS HIDAYAT THAIB, S.E.",LAKI - LAKI,4
2024,DPR,ACEH ,ACEH II,PKS,AIDIL FAN,LAKI - LAKI,5
2024,DPR,ACEH ,ACEH II,PKB,"ANA FITRIA SARI PINEM, S.H., M.Kn.",PEREMPUAN,3
2024,DPR,ACEH ,ACEH II,PKS,"ANANDA FILDZA ALIFA, S.Sos.",PEREMPUAN,3
2024,DPR,ACEH ,ACEH II,Perindo,"ANDI SYAFRIZAL, S.KH.",LAKI - LAKI,2
2024,DPR,ACEH ,ACEH II,Garuda,ARI YOGA,LAKI - LAKI,5
2024,DPR,ACEH ,ACEH II,Buruh,Arianingsih,PEREMPUAN,5
2024,DPR,ACEH ,ACEH II,PKB,"ARINI ARISKA, A.Md.Keb",PEREMPUAN,6
2024,DPR,ACEH ,ACEH II,PDIP,ARWIN MEGA,LAKI - LAKI,1
2024,DPR,ACEH ,ACEH II,Perindo,CUT DINDA APRILIANI,PEREMPUAN,3
2024,DPR,ACEH ,ACEH II,Hanura,"CUT MEUTIA, S.H., M.H.",PEREMPUAN,5
2024,DPR,ACEH ,ACEH II,Gerindra,CUT PUTEH,PEREMPUAN,3
2024,DPR,ACEH ,ACEH II,Golkar,"CUT RIZKA SEPTIANI, S.I.Kom., M.Si.",PEREMPUAN,3
2024,DPR,ACEH ,ACEH II,PPP,CUT SITI MAISYARAH,PEREMPUAN,3
2024,DPR,ACEH ,ACEH II,Demokrat,CUT YANTI NORA,PEREMPUAN,3
2024,DPR,ACEH ,ACEH II,Ummat,CUT YUMA ASMAHATI,PEREMPUAN,5
2024,DPR,ACEH ,ACEH II,Gerindra,"DEWI KARTIKA, S.H.",PEREMPUAN,6
2024,DPR,ACEH ,ACEH II,PKS,"dr. EDDI JUNAIDI, Sp.OG., S.H., M.Kes.",LAKI - LAKI,4
