Year,Election,Province,District Number,Party,Candidate name,"Candidate Gender L=Male, P=Female",Candidate list position
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Nasdem,KHABIB MAHFUD,LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,PSI,KIN YATI,PEREMPUAN,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Gerindra,"LIA ITOK GARBIANTO, S.Pd.",LAKI - LAKI,8
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,PBB,MA'MUN,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,PKN,MAKSON SAPUTRA PAI TIBA,LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Ummat,MARWATI,PEREMPUAN,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,PKB,MAULANA AHMAD HASAN,LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Perindo,"Mayjen. TNI (Purn.) WURYANTO, S.Sos., M.Si.",LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,PBB,MEISASTRI ENOSAKA,PEREMPUAN,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,PKB,MF. NURHUDA YUSRO,LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,PPP,"MIFTAHUSURUR, S.Pd.",LAKI - LAKI,8
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,PKS,"MIYA NUR PURBANDARI, A.Md.A.K.",PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,PAN,MOCHAMAD SONHAJI IMRON,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Perindo,"MUHAJIR, S.Kep., Ns., M.M.",LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Demokrat,Muhammad Zulfiqar,LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,PPP,MUHIMAH,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Garuda,MUNJI,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,PAN,"MUSTOLIH, S.IP.",LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Garuda,NELA NIHAYATUL AMALIAH,PEREMPUAN,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Gerindra,NETTY HERAWATY,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,PPP,"NGATOILAH, S.Ag.",LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,PPP,"NOVEBRI K. SASONGKO, S.H.",LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Garuda,NUR APRIYANTI,PEREMPUAN,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Demokrat,NUR RAINY MAHARDIANI,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Buruh,Nurul Aulia Dewi,PEREMPUAN,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Demokrat,OKTO WIRYAWAN SUBAGYO,LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Buruh,Purijan Karismandely,LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Ummat,"RADEN WAWAN ADINARMIHARDJA, S.E., M.P.",LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Garuda,RAFLI FADILLAH MALIK,LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Demokrat,"RAHMAN TOHA BUDIARTO, S.T.",LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Ummat,RATNASARI,PEREMPUAN,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Garuda,RENO DANU TIRTO,LAKI - LAKI,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Demokrat,"REZAFI AKBAR, S.E., S.Kom., M.M.",LAKI - LAKI,8
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Garuda,RIGA WAHYUDI,LAKI - LAKI,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Garuda,RIKA RACHIM FEBRIANI,PEREMPUAN,8
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Gelora,RIMA MELANIE PUSPITASARI,PEREMPUAN,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Nasdem,ROHAYATI,PEREMPUAN,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Golkar,"ROTELENA NAPITUPULU, M.Pd.",PEREMPUAN,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Hanura,RUTH M. TYAS,PEREMPUAN,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Nasdem,"SANI ARIYANTO, S.T., M.Si.",LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Gelora,SAPTO HARGO SUNYO PRIYO UTOMO,LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Buruh,Sariatun Azizah,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Gelora,"SELAMAT WIDODO, S.H., M.H.",LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,PSI,SEPTIAN DWI SAPUTRO,LAKI - LAKI,8
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,PAN,SHEILA AFIFAH ZAIDAN,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Gerindra,"SHEILA AYU SAYYIDDAH, S.I.Kom., M.H.",PEREMPUAN,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,PKS,SITI ATMIATUN,PEREMPUAN,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,PKB,"SITI MUKAROMAH, S.Ag., M.A.P.",PEREMPUAN,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Buruh,"Sokeh, S.Kep., Ns.",LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Nasdem,SUGENG SUPARWOTO,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,PBB,SUGIANTORO,LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,PSI,SUKI MEYASTUTI,PEREMPUAN,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Buruh,SUYUDI,LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,PKN,SYAMSUL HIDAYAT,LAKI - LAKI,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Ummat,TANTI PURWATI,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Golkar,"TETI ROHATININGSIH, S.Sos.",PEREMPUAN,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,PSI,TIMBUL ANDI WIBOWO,LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,PKN,VEGA MERYANTI TASI,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,PKN,VENLIEF LEONARD MANAFE,LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Perindo,VERIANTI AZHARY RAHMAANALLAH,PEREMPUAN,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Nasdem,YAHYA ARIF IMAN SUMADI,LAKI - LAKI,8
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Demokrat,YULIANTI SUPRIYATININGSIH,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Buruh,Yusrizal,LAKI - LAKI,8
2024,DPR,JAWA TENGAH ,JAWA TENGAH VIII,Demokrat,ZACKY ABIDIN,LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Nasdem,ACHMAD DACHLAN SANAD,LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Buruh,ADI SUCIPTO,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Garuda,ADITYA NUR RIZKI,LAKI - LAKI,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PKN,AFRIZAL,LAKI - LAKI,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PPP,"AGOES JOESNI, S.Sos.",LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Hanura,AGUNG GIANTORO,LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PAN,Agung Wisnu Kusuma,LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Ummat,AHMAD ZAINI,LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PKS,AISYAH,PEREMPUAN,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PAN,"ANDRIYANTO JOHAN SYAH, S.T., M.M.",LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Golkar,"ANJAR BUDIANI, S.I.Kom.",PEREMPUAN,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PKS,"apt. W. ISRO ABDILAH, S.Farm.",LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PAN,"ARYA BIMA, S.H.",LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Golkar,ASHRAFF ABU,LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PKB,ATIQOTU ROHMAH,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Nasdem,AYU ISLAMY,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Buruh,BAMBANG DWI SAPUTRO,LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Perindo,BAMBANG MUGIARTO,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PDIP,BAMBANG SAMEKTO,LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PKB,"BISRI ROMLY, M.M.",LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PKB,"CASWIYONO RUSYDIE CW., M.I.P.",LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Demokrat,"Chandra Noviardy Irawan, S.H., M.H.",LAKI - LAKI,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Hanura,"DAWAM ABDUL HANIF, M.Pd.",LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PDIP,"DEDE INDRA PERMANA SOEDIRO, S.H.",LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PBB,DEDY SUHADI,LAKI - LAKI,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PAN,"Desy Herdian Pramadhita, S.Pd., M.Pd.",PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Buruh,DEWI ISNA NIKMAH,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Golkar,"DONI AKBAR, S.E., M.M.",LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Gelora,Doni Hartono,LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PKS,dr. AGUS GUNAWAN OESMAN,LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Perindo,"Dr. Drs. ISKANDAR, S.H., M.H.",LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Demokrat,"Dr. H. DARONI SUPARDI, S.I.P., S.P., M.P.",LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Hanura,dr. JOKO SUPRIANTO,LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Ummat,dr. MAHRUS ACHID,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Gerindra,Dr. RAMSON SIAGIAN,LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Hanura,"Dr. SARJI, S.H., M.Pd.",LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PPP,Dra. Hj. MUNAWAROH,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Demokrat,Dra. WAHYUNING CHUMAESON,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Nasdem,Drs. EDI HIDAYAT,LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Hanura,Drs. K. ARDHIANSYAH,LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Garuda,DWI SUKWANTO,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Golkar,EKO PRIYONO,LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Gerindra,EKO WIBOWO,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PPP,ERVINA,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Buruh,ERWAN,LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Perindo,"FAJAR HAYAT PUTRA, S.Pd.",LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Ummat,FARIKHAH BUDI ASTUTI,PEREMPUAN,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Buruh,FATIMAH HENDRIANY,PEREMPUAN,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PBB,FITRIANA,PEREMPUAN,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Garuda,GITA HANDAYANI,PEREMPUAN,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PAN,H. A. HAKAM NAJA,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Gerindra,H. ABDUL HAKAM NAGIB,LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PKB,"H. LUKMAN KHAKIM, S.Ag.",LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Gelora,H. MAHBUB,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PPP,"H. RUDI NURAHMAT, S.T., M.T., M.M.",LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PAN,"H. SAEFUL ARIF, S.H., M.Kn.",LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PKB,"H. SUKIRMAN, S.S.",LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PKS,H. SUNARJI,LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PKN,HADI SUGIARDJO,LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Garuda,HASTRIVA MEGASARI,PEREMPUAN,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Demokrat,"HELMY HEMILTON, S.H., M.H.",LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PBB,"HENNRY NIZMUL FALLAH, A.Md.",LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Nasdem,"Hj. MARYATI, S.H., M.Si.",PEREMPUAN,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Golkar,"Hj. NUR BALISTIK, S.H.",PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PKS,"Hj. ZAHIDAH, S.Tr.Keb.",PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PKN,I NENGAH SUKIRTA,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Gelora,IKLIMA AISYAH,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Perindo,IQNAL SHALAT SUKMA WIBOWO,LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Golkar,"Ir. JUNAIDI ELVIS, M.Hum.",LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PDIP,Ir. TOMMY GUNAWAN,LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PBB,IVAN RIZKI,LAKI - LAKI,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PBB,IWAN KURNIAWAN,LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Nasdem,JAKFAR SIDIK,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PSI,KELIK DJATI KUSUMO,LAKI - LAKI,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Garuda,KHAERUL HIDAYAT,LAKI - LAKI,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Hanura,KOMALASARI,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PAN,"KRISTINA ISWANDARI, S.H.",PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PSI,LENI RODIAH,PEREMPUAN,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PKN,LEO ALLESANDRO MANUPUTTY,LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PKB,M. HANIF DHAKIRI,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Ummat,M.A. THOLIB,LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PBB,MARDIYANA,PEREMPUAN,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Perindo,MASNA,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PKN,MATHELDA YUNITA TOUDENGGA BANDI,PEREMPUAN,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PKN,MESYANCE NGGILI,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Nasdem,MILA TRIANA,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Golkar,"MIRANTI DIAN KINASIH, S.Hum., M.Si.",PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PPP,"MOCHAMAD SYAHIR, S.H., M.H.",LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Gelora,MOHAMAD HENDRA JALAL,LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Gerindra,MUNIP ARIYADI,LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Demokrat,"Mustaqim, S.T., M.Sos.",LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PSI,"NISRINA LUTHFIAH, S.M.",PEREMPUAN,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PSI,NUR SUPRIANTO SUKAMTO,LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Gerindra,NURUL HUDA,LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PSI,PENNY ROSMAWATI,PEREMPUAN,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PDIP,Prof. Dr. HENDRAWAN SUPRATIKNO,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Gerindra,"R. Ngt. AGUSTINA KARTIKASARI, S.H.",PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Garuda,RADIANSYAH,LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Ummat,"RATNA ANGGRAINI, S.H., S.Psi., M.H.",PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PDIP,"RINA YUNARTI, S.H., M.Kn.",PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Gelora,RISA NUR KHOMISAH,PEREMPUAN,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PKS,Rizal Bawazier,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Gerindra,SAFRINA MARIA,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Buruh,SANTOSA ABENG,LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Ummat,SETIO PAMBUDI,LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Hanura,SITI NURBAITY,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PKS,"SITI RAHMAH, S.Ag.",PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Ummat,SRI KARTINI,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Buruh,SRI WAHYUNINGSIH,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Perindo,SUCI FATIHAH,PEREMPUAN,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PSI,"SUGENG PRIYADI, S.Ag.",LAKI - LAKI,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PKB,"SULISTYA, S.E.",PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PPP,"SUTOMO JATI, S.T.",LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PPP,SUYONO,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PKN,SYAIFUL ANWAR,LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Demokrat,TEGUH EKO PRASTIYANTO,LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PDIP,TENGKU ZANZABELLA,PEREMPUAN,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Demokrat,"Tety Indarti, S.H.",PEREMPUAN,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Perindo,VERANIKA,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PDIP,WARDAH AL VINUR,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,PSI,WAWAN SETIAWAN,LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Nasdem,YOYOK RIYO SUDIBYO,LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH X,Garuda,ZAKARIA NUKMAN,LAKI - LAKI,4
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,Perindo,A. WISHNU HANDOYONO,LAKI - LAKI,6
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,PKN,ABDUL CHOLIQ ROSJIDI,LAKI - LAKI,6
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,PKB,"ABDUL ROCHIM, S.Sos.",LAKI - LAKI,4
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,PPP,"ACHMAD FIKRI HIDAYAT, S.H.",LAKI - LAKI,4
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,PKB,"ACHMAD WAHYUDDIN, S.H., M.H.",LAKI - LAKI,7
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,Golkar,ADELA KANASYA ADIES,PEREMPUAN,10
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,Golkar,ADIES KADIR,LAKI - LAKI,1
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,Garuda,ADINA NOVIANTI,PEREMPUAN,9
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,PBB,AFFAN GHIFARI,LAKI - LAKI,3
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,Buruh,Agus supriyanto,LAKI - LAKI,1
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,PSI,ANDRE CAHYO NUGROHO,LAKI - LAKI,5
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,PDIP,ANDRE HEHANUSSA,LAKI - LAKI,5
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,Perindo,"ANGELA H. TANOESOEDIBJO, B.A., M.Com.",PEREMPUAN,1
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,PKN,ANJAS MAULANA,LAKI - LAKI,10
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,PSI,ANTONIUS RICKY HARTONO,LAKI - LAKI,7
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,PDIP,ARIELLA HANA SINJAYA,PEREMPUAN,10
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,PAN,"ARIZAL TOM LIWAFA, S.T., M.M.",LAKI - LAKI,2
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,Perindo,ARNOLD POERNOMO,LAKI - LAKI,3
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,Garuda,ATRINA ISTI OILINDA,PEREMPUAN,4
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,Nasdem,AYU WULAN SARI,PEREMPUAN,9
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,PDIP,"B. ZAELANI, S.E.",LAKI - LAKI,4
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,Golkar,"BAMBANG BUDI SUWARSO, Ak., M.B.T., CA.",LAKI - LAKI,8
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,PDIP,BAMBANG DH,LAKI - LAKI,2
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,PSI,"BAMBANG HONDIONO, S.E.",LAKI - LAKI,8
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,PSI,BENNY BUDHIJANTO,LAKI - LAKI,2
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,Gelora,CHURIYATUN NAFISAH,PEREMPUAN,6
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,Garuda,DEVY PURNANING TIYAS,PEREMPUAN,8
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,Gelora,DEWI AJUNI,PEREMPUAN,3
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,Gerindra,DHANI AHMAD PRASETYO,LAKI - LAKI,2
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,PKS,"DIHIN SUPRIYANDINI, S.Farm.",PEREMPUAN,7
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,PAN,"DIKKY SYADQOMULLAH, S.H.I., M.HES.",LAKI - LAKI,7
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,PKB,"DITA INDAH SARI, S.H., M.H.",PEREMPUAN,2
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,Gelora,"DODDY EKA PUTRA, S.T., M.M.",LAKI - LAKI,1
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,Perindo,DODY YUDHA M.R.,LAKI - LAKI,8
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,Demokrat,DONNY SOEHANDHONO,LAKI - LAKI,4
2024,DPR,JAWA TIMUR ,JAWA TIMUR I,PKS,"dr. AGOES KOOSHARTORO, Sp.P.D.(K)., KKV., FINASIM.",LAKI - LAKI,3
