Year,Election,Province name,Candidate Name ,,,,,,,,,,,,,
2019,DPD,Jawa Barat,"Dr. H. RM. IMAM I. TUNGGARA, M.Pd.",,,,,,,,,,,,,
2019,DPD,Jawa Barat,"Dr. OKTRI MOHAMMAD FIRDAUS, S.T., M.T., IPM.",,,,,,,,,,,,,
2019,DPD,Jawa Barat,"Drs. IDRIS EPENDI, M.M.",,,,,,,,,,,,,
2019,DPD,Jawa Barat,Drs. Tb. ANIS ANGKAWIJAYA,,,,,,,,,,,,,
2019,DPD,Jawa Barat,"H. ASEP HIDAYAT, S.Ag.",,,,,,,,,,,,,
2019,DPD,Jawa Barat,"H. YUSYUS KUSWANDANA, S.H., M.Si.",,,,,,,,,,,,,
2019,DPD,Jawa Barat,Ir. ELAN HERYANTO H,,,,,,,,,,,,,
2019,DPD,Jawa Barat,Ir. SUWIDI TONO,,,,,,,,,,,,,
2019,DPD,Jawa Barat,MAULIDAN ISBAR,,,,,,,,,,,,,
2019,DPD,Jawa Barat,"MOHAMMAD TEGUH HARDITYA, S.E.",,,,,,,,,,,,,
2019,DPD,Jawa Barat,ROBBY MAULANA ZULKARNAEN,,,,,,,,,,,,,
2019,DPD,Jawa Barat,"TIA MUTHIAH UMAR, S.Sos., M.Si.",,,,,,,,,,,,,
2019,DPD,Jawa Barat,Ust. ASEP SYARIPUDIN,,,,,,,,,,,,,
2019,DPD,Jawa Barat ,"AA ABDUL ROZAK, M.Ag.",,,,,,,,,,,,,
2019,DPD,Jawa Barat ,AA JAENUDIN,,,,,,,,,,,,,
2019,DPD,Jawa Barat ,AA ONI SUWARMAN,,,,,,,,,,,,,
2019,DPD,Jawa Barat ,ANDRI PERKASA KANTAPRAWIRA,,,,,,,,,,,,,
2019,DPD,Jawa Barat ,DENI AHMAD HAEDARI,,,,,,,,,,,,,
2019,DPD,Jawa Barat ,"Dr. H. TATANG FARHANUL HAKIM, M.Pd.",,,,,,,,,,,,,
2019,DPD,Jawa Barat ,"Dr. H. ZULKARNAEN, S.H., M.H.",,,,,,,,,,,,,
2019,DPD,Jawa Barat ,"Dr. Ir. AGUS KUSWANTO, M.Si.",,,,,,,,,,,,,
2019,DPD,Jawa Barat ,"Dra. Ir. Hj. ENI SUMARNI, M.Kes.",,,,,,,,,,,,,
2019,DPD,Jawa Barat ,"Drs. H. ABDUL HADIE, M.M.",,,,,,,,,,,,,
2019,DPD,Jawa Barat ,Drs. H. ARIFIN H KERTASAPUTRA,,,,,,,,,,,,,
2019,DPD,Jawa Barat ,"Drs. H. ASEP SYARIPUDIN, M.Si.",,,,,,,,,,,,,
2019,DPD,Jawa Barat ,Drs. K.H. YAYAN HASUNA HUDAYA,,,,,,,,,,,,,
2019,DPD,Jawa Barat ,"H. ALDWIN RAHADIAN M., S.H., M.AP., CIL.",,,,,,,,,,,,,
2019,DPD,Jawa Barat ,"H. HERI PURNAMA, M.Pd.I",,,,,,,,,,,,,
2019,DPD,Jawa Barat ,"H. IMAN SETIAWAN, S.H.",,,,,,,,,,,,,
2019,DPD,Jawa Barat ,H. MUGI SUJANA,,,,,,,,,,,,,
2019,DPD,Jawa Barat ,"Hj. EUIS MULLY MULYATI SUKARYA, S.Pd.",,,,,,,,,,,,,
2019,DPD,Jawa Barat ,"Hj. RINI SUJIYANTI, S.E., M.M.",,,,,,,,,,,,,
2019,DPD,Jawa Barat ,Ir. H. ADI GUNAWAN,,,,,,,,,,,,,
2019,DPD,Jawa Barat ,"Ir. H. AYI HAMBALI, M.M.",,,,,,,,,,,,,
2019,DPD,Jawa Barat ,Ir. MUHAMAD SIDARTA,,,,,,,,,,,,,
2019,DPD,Jawa Barat ,"IWAN KUSMAWAN, S.H.",,,,,,,,,,,,,
2019,DPD,Jawa Barat ,"K.H. AMANG SYAFRUDIN, Lc.",,,,,,,,,,,,,
2019,DPD,Jawa Barat ,"Mayjen TNI (Purn) Dr. Ir. H. SUHARNO, M.M.",,,,,,,,,,,,,
2019,DPD,Jawa Barat ,"SAPEI, S.T.",,,,,,,,,,,,,
2019,DPD,Jawa Barat ,SYIFA HANANTA,,,,,,,,,,,,,
2019,DPD,Jawa Barat ,"UDI, S.Ag.",,,,,,,,,,,,,
2019,DPD,Jawa Tengah,"BUDI YUWONO, SH.",,,,,,,,,,,,,
2019,DPD,Jawa Tengah,"Dr. KH. MUQODDAM CHOLIL, MA.",,,,,,,,,,,,,
2019,DPD,Jawa Tengah,"Drs. H. MUHTAR LUTFI, MM",,,,,,,,,,,,,
2019,DPD,Jawa Tengah,Drs. M. ABDUL ROHIM,,,,,,,,,,,,,
2019,DPD,Jawa Tengah,G.K.R. AYU KOES INDRIYAH,,,,,,,,,,,,,
2019,DPD,Jawa Tengah,"H. MUH MAHSUN, S.IP.",,,,,,,,,,,,,
2019,DPD,Jawa Tengah,"H. NAIBUL UMAM EKO SAKTI, S.Ag., M.Si.",,,,,,,,,,,,,
2019,DPD,Jawa Tengah,"Ir. H. BAMBANG SUTRISNO, MM.",,,,,,,,,,,,,
2019,DPD,Jawa Tengah,"ISNAN AHMAD JUHARDANI, S.P.",,,,,,,,,,,,,
2019,DPD,Jawa Tengah,"SOLEHIN, S.Pd, MM.",,,,,,,,,,,,,
2019,DPD,Jawa Tengah ,"ABDUL KHOLIK, SH., M.Si.",,,,,,,,,,,,,
2019,DPD,Jawa Tengah ,AGUS MUJAYANTO,,,,,,,,,,,,,
2019,DPD,Jawa Tengah ,"CASYTHA A. KATHMANDU, SE.",,,,,,,,,,,,,
2019,DPD,Jawa Tengah ,"DENTY EKA WIDI PRATIWI, SE., MH.",,,,,,,,,,,,,
2019,DPD,Jawa Tengah ,"Dr. H. BAMBANG SADONO, SH., MH.",,,,,,,,,,,,,
2019,DPD,Jawa Tengah ,"Dr. H. DARWITO, SE., MM.",,,,,,,,,,,,,
2019,DPD,Jawa Tengah ,"Drs. H. JAMUN, M.Pd.I",,,,,,,,,,,,,
2019,DPD,Jawa Tengah ,"Drs. JOKO J. PRIHATMOKO, M.Si.",,,,,,,,,,,,,
2019,DPD,Jawa Tengah ,"KHOLISON, SH.",,,,,,,,,,,,,
2019,DPD,Jawa Tengah ,"MUJIBURROHMAN, S.S.",,,,,,,,,,,,,
2019,DPD,Jawa Timur,"A SYAIFUL ISMAIL, S.H., M.H",,,,,,,,,,,,,
2019,DPD,Jawa Timur,A. AGUS PATMINTO,,,,,,,,,,,,,
2019,DPD,Jawa Timur,"ABDUL QADIR AMIR HARTONO, S.E., S.H., M.H",,,,,,,,,,,,,
2019,DPD,Jawa Timur,"ACHMAD NURUL ILMI, S.H",,,,,,,,,,,,,
2019,DPD,Jawa Timur,"ACHMAD RUSYAD MANFALUTI, S.Ag., M.Si",,,,,,,,,,,,,
2019,DPD,Jawa Timur,ADILLA AZIS,,,,,,,,,,,,,
2019,DPD,Jawa Timur,"ANDI YUWONO, S.Sos., M.Si",,,,,,,,,,,,,
2019,DPD,Jawa Timur,"Dr. H. RPA. MUJAHID ANSORI, M.Si",,,,,,,,,,,,,
2019,DPD,Jawa Timur,"Dra. Hj. HARBIAH SALAHUDDIN, M.Si",,,,,,,,,,,,,
2019,DPD,Jawa Timur,ENRICO WHENRY RIZKY TAMBUNAN,,,,,,,,,,,,,
2019,DPD,Jawa Timur,EVI ZAINAL ABIDIN,,,,,,,,,,,,,
2019,DPD,Jawa Timur,"FAIROUZ HUDA, S.Sos",,,,,,,,,,,,,
2019,DPD,Jawa Timur,"FATIHUL FAIZUN, S.Sos",,,,,,,,,,,,,
2019,DPD,Jawa Timur,"H. AHMAD NAWARDI, S.Ag",,,,,,,,,,,,,
2019,DPD,Jawa Timur,"H. NADJIB HAMID, M.Si",,,,,,,,,,,,,
2019,DPD,Jawa Timur,H. PUDJO BASUKI,,,,,,,,,,,,,
2019,DPD,Jawa Timur,"H. SONHADJI ZAINUDIN, S.E., M.M",,,,,,,,,,,,,
2019,DPD,Jawa Timur,"H. SUPRIASTO, S.H., M.H",,,,,,,,,,,,,
2019,DPD,Jawa Timur,"IMAM KHODRI TF, S.S., M.Th.I",,,,,,,,,,,,,
2019,DPD,Jawa Timur,Ir. H. AA LA NYALLA MAHMUD MATTALITTI,,,,,,,,,,,,,
2019,DPD,Jawa Timur,"Ir. H. ALFA ISNAENI, M.Si",,,,,,,,,,,,,
2019,DPD,Jawa Timur,Ir.H. SUHANDOYO SP,,,,,,,,,,,,,
2019,DPD,Jawa Timur,"MASHUDI, S.T.P",,,,,,,,,,,,,
