Year,Election ,Province name,Candidate name,,,,,,,,,
2024,DPD,DKI Jakarta,"Dr. Hj. RENY HALIDA I. M., S.H., M.H.",,,,,,,,,
2024,DPD,DKI Jakarta,ENDANG WIDURI,,,,,,,,,
2024,DPD,DKI Jakarta,"FAHIRA IDRIS, S.E., M.H.",,,,,,,,,
2024,DPD,DKI Jakarta,"H. MADANI B. H. MADALI, S.Sos.. M.Si.",,,,,,,,,
2024,DPD,DKI Jakarta,"H. MUSTOPA MURTADO, S.E.",,,,,,,,,
2024,DPD,DKI Jakarta,"H. PARDI, S.H.",,,,,,,,,
2024,DPD,DKI Jakarta,"H. SYARIEF HIDAYATULLOH, S.E.",,,,,,,,,
2024,DPD,DKI Jakarta,Hj. HAPPY DJAROT,,,,,,,,,
2024,DPD,DKI Jakarta,"Hj. SYAMSIDAR SIREGAR, S.I.P.",,,,,,,,,
2024,DPD,DKI Jakarta,ILYAS,,,,,,,,,
2024,DPD,DKI Jakarta,Ir. TENGKU MUHAMMAD NURHAFIDZ,,,,,,,,,
2024,DPD,DKI Jakarta,"Prof. Dr. H. DAILAMI FIRDAUS, S.H., LL.M.",,,,,,,,,
2024,DPD,DKI Jakarta,"Prof. Dr. Hj. SYLVANA MURNI, S.H., M.Si.",,,,,,,,,
2024,DPD,DKI Jakarta,"SLAMET ABADI, S.E. Ak., CA.. CPA.",,,,,,,,,
2024,DPD,DKI Jakarta,"St. RAMSES BUTAR BUTAR, S.H., M.Kn.",,,,,,,,,
2024,DPD,DKI Jakarta,SYAIFUDDIN,,,,,,,,,
2024,DPD,DKI Jakarta,"SYIFA AWALIA, S.Pd.I., S.E.Sy., M.M.",,,,,,,,,
2024,DPD,Gorontalo,ANA SUPRIYANA ABDUL HAMID. S.H.. M.Kn.,,,,,,,,,
2024,DPD,Gorontalo,"DEWI SARTIKA HEMETO, S.E.",,,,,,,,,
2024,DPD,Gorontalo,dr. KUSLIYANTO MONOARRA,,,,,,,,,
2024,DPD,Gorontalo,H. JASIN U. DILO,,,,,,,,,
2024,DPD,Gorontalo,H. TONNY S.JUNUS,,,,,,,,,
2024,DPD,Gorontalo,"H. YUSRIM. HELINGO, S.E., M.M.",,,,,,,,,
2024,DPD,Gorontalo,HENGKI MALIKI,,,,,,,,,
2024,DPD,Gorontalo,"Hi. SYARIR MBUINCA, S.PJ.T., S.E., M.M.",,,,,,,,,
2024,DPD,Gorontalo,"JAMALUDDIN K. MOOWAGO, S.Kom.",,,,,,,,,
2024,DPD,Gorontalo,Prof. Dr. Ir. FADEL MUHAMMAD,,,,,,,,,
2024,DPD,Gorontalo,RAMMIJATI JAHJA,,,,,,,,,
2024,DPD,Gorontalo,"RONALD S. BIDJUNI, 5.5n.",,,,,,,,,
2024,DPD,Jambi,"DARMAWAN, S.E.",,,,,,,,,
2024,DPD,Jambi,Dra. HI. ELVIANA. M.SI,,,,,,,,,
2024,DPD,Jambi,"EDI ENDRA, S.P.",,,,,,,,,
2024,DPD,Jambi,H. ABU BAKAR JAMALIA,,,,,,,,,
2024,DPD,Jambi,"H. ERWAN, S.E., M.Si.",,,,,,,,,
2024,DPD,Jambi,"H. LUKMAN, S.Pd., M. Pd.",,,,,,,,,
2024,DPD,Jambi,"H. M. SYUKUR, S.H., M.H.",,,,,,,,,
2024,DPD,Jambi,"H. MUHAMMAD NUH, S.Ag.",,,,,,,,,
2024,DPD,Jambi,"HAMID, S Sos.",,,,,,,,,
2024,DPD,Jambi,"HERI KUSNADI, M.Kom.",,,,,,,,,
2024,DPD,Jambi,IVANDA AWALINA FIRDAUSI SUKANDAR,,,,,,,,,
2024,DPD,Jambi,"M. SUM INDRA, S.E., M.M.S.I.",,,,,,,,,
2024,DPD,Jambi,"MUSMULYADI, S.H.I.",,,,,,,,,
2024,DPD,Jambi,PETRUS HILMAN DAPOT TUAH PURBA,,,,,,,,,
2024,DPD,Jambi,"RIA MAYANG SARI, S.H., M.H.",,,,,,,,,
2024,DPD,Jambi,"RUDI ARDIANSYAH, S.H.",,,,,,,,,
2024,DPD,Jambi,SABAT NASE INDALLAH JAIS,,,,,,,,,
2024,DPD,Jambi,"WALINI, S.I.Kom.",,,,,,,,,
2024,DPD,Jawa Barat,A IRWAN BOLA,,,,,,,,,
2024,DPD,Jawa Barat,A OGI SOS,,,,,,,,,
2024,DPD,Jawa Barat,A TAUPIK HIDAYAT,,,,,,,,,
2024,DPD,Jawa Barat,"AA ADE KADARISMAN, S.SoS., M.T.",,,,,,,,,
2024,DPD,Jawa Barat,"AANYA RINA CASMAYANTI, S.E.",,,,,,,,,
2024,DPD,Jawa Barat,ABAS ABDUL JALIL,,,,,,,,,
2024,DPD,Jawa Barat,"AGITA NURFIANTI, S.Psi.",,,,,,,,,
2024,DPD,Jawa Barat,"AJI SAPTAJI, S.H.I., M.E.Sy.",,,,,,,,,
2024,DPD,Jawa Barat,ALFIANSYAH KOMENG,,,,,,,,,
2024,DPD,Jawa Barat,"AMBU USDEK KANIAWATI, S.Sos.",,,,,,,,,
2024,DPD,Jawa Barat,"ANDRI PERKASA KANTAPRAWIRA, S.I.P, M.M.",,,,,,,,,
2024,DPD,Jawa Barat,ANNIDA ALLIVIA,,,,,,,,,
2024,DPD,Jawa Barat,ARIF RAHMAN HIDAYAT,,,,,,,,,
2024,DPD,Jawa Barat,"BIBEN FIKRIANA, S.Kep., Ners., M. Kep.",,,,,,,,,
2024,DPD,Jawa Barat,"BUDIVANTO, S.Pi.",,,,,,,,,
2024,DPD,Jawa Barat,"BUDIYONO, S.P.",,,,,,,,,
2024,DPD,Jawa Barat,DEDE AMAR,,,,,,,,,
2024,DPD,Jawa Barat,"DEDI RUDIANSYAH, S.T.",,,,,,,,,
2024,DPD,Jawa Barat,"DENDA ALAMSYAH, S.T.",,,,,,,,,
2024,DPD,Jawa Barat,"DENI RUSYNIADI, S.Ag.",,,,,,,,,
2024,DPD,Jawa Barat,DIAN RAHADIAN,,,,,,,,,
2024,DPD,Jawa Barat,DJUMONO,,,,,,,,,
2024,DPD,Jawa Barat,"Dr. AEP SAEPUDIN MUHTAR, M. Sos.",,,,,,,,,
2024,DPD,Jawa Barat,"Dr. Drs. SONNY HERSONA GW, M.M",,,,,,,,,
2024,DPD,Jawa Barat,"Dr. HAIDAN, S.Pd.I., S.H., M.Ag.",,,,,,,,,
2024,DPD,Jawa Barat,"Dr. Hj. IFA FAIZAH ROHMAH, M.Pd.",,,,,,,,,
2024,DPD,Jawa Barat,"Dr. SITTI HIKMAWATTY, S.ST., M.Pd.",,,,,,,,,
2024,DPD,Jawa Barat,Dr. SUROYO,,,,,,,,,
2024,DPD,Jawa Barat,"Dra. Ir. Hj. ENI SUMARNI, M.Kes.",,,,,,,,,
2024,DPD,Jawa Barat,Drs. H. SURATTO SISWODIHARDJO,,,,,,,,,
2024,DPD,Jawa Barat,"Drs. MUHAMMAD YAMIN, M.H.",,,,,,,,,
2024,DPD,Jawa Barat,"EDI KUSDIANA, S.A.P., M.M.",,,,,,,,,
2024,DPD,Jawa Barat,"ERNAWATY TAMPUBOLON, S.T., M.Th.",,,,,,,,,
2024,DPD,Jawa Barat,"H. ACENG HM FIKRI, S.Ag.",,,,,,,,,
2024,DPD,Jawa Barat,"H. ADIL MAKMUR SANTOSA, S.Pd., M.Si.",,,,,,,,,
2024,DPD,Jawa Barat,"HENDRIK KURNIAWAN, S.Pd.I.",,,,,,,,,
2024,DPD,Jawa Barat,"IMAM SOLAHUDIN, S.T., S.Ag., M.Si.",,,,,,,,,
2024,DPD,Jawa Barat,"IMAM SUGIARTO, S.H.",,,,,,,,,
2024,DPD,Jawa Barat,Ir. ELAN HERYANTO,,,,,,,,,
2024,DPD,Jawa Barat,"JAHENOS SARAGIH, S.Th., M.Th., M.M.",,,,,,,,,
2024,DPD,Jawa Barat,"JAJANG KURNIA, S.Sos., M.Si.",,,,,,,,,
2024,DPD,Jawa Barat,JIHAN FAHIRA,,,,,,,,,
2024,DPD,Jawa Barat,K.H. A WAWAN GHOZALI,,,,,,,,,
2024,DPD,Jawa Barat,"K.H. AMANG SYAFRUDIN, M.M.",,,,,,,,,
2024,DPD,Jawa Barat,MUHAMAD DAWAM,,,,,,,,,
2024,DPD,Jawa Barat,MUHAMMAD MURTADLOILLAH,,,,,,,,,
2024,DPD,Jawa Barat,MULYADI ELHAN ZAKARIA,,,,,,,,,
2024,DPD,Jawa Barat,"RIA SUGIAT, S.H.",,,,,,,,,
2024,DPD,Jawa Barat,RIFKI KARTINI,,,,,,,,,
2024,DPD,Jawa Barat,ROBBY MAULANA ZULKARNAEN,,,,,,,,,
2024,DPD,Jawa Barat,RUSDI HIDAYAT,,,,,,,,,
2024,DPD,Jawa Barat,"TEDY GIANTARA, S.T.",,,,,,,,,
2024,DPD,Jawa Barat,WAWAN DEDE AMUNG SUTARYA,,,,,,,,,
2024,DPD,Jawa Barat,"YUNITA DIAN SUWANDARI, S.T., M.M., M.T.",,,,,,,,,
2024,DPD,Jawa Tengah,AGUS MUJAYANTO,,,,,,,,,
2024,DPD,Jawa Tengah,"AHMAD BALICH MU'AIDI, S.Pd.I.",,,,,,,,,
2024,DPD,Jawa Tengah,"CASYTHA A. KATHMANDU, S.E.",,,,,,,,,
