Year,Election ,Province name,Candidate name
2014,DPD,DKI Jakarta ,"H. Sayogo Hendrosubroto, S.I.P. "
2014,DPD,DKI Jakarta ,"H. Zuhdi Mamduhi, S.E. "
2014,DPD,DKI Jakarta ,Heru Cokro 
2014,DPD,DKI Jakarta ,"Ivan Rinaldi, S.E., M.M. "
2014,DPD,DKI Jakarta ,"KH. Lutfi Hakim, M.A. "
2014,DPD,DKI Jakarta ,M. Rifqy
2014,DPD,DKI Jakarta ,Mutiati Sejahtera
2014,DPD,DKI Jakarta ,Parni Hardi 
2014,DPD,DKI Jakarta ,Prof. Dr. Dailami Firdaus
2014,DPD,DKI Jakarta ,Ramdansyah
2014,DPD,DKI Jakarta ,"Rekson Silaban, S.E. "
2014,DPD,DKI Jakarta ,Rommy
2014,DPD,DKI Jakarta ,Rudy Hamid
2014,DPD,DKI Jakarta ,Sabam Sirait
2014,DPD,DKI Jakarta ,"Santo Dewatmoko, S.T., M.M., M.A."
2014,DPD,DKI Jakarta ,"Usmar, S.E., M.M. "
2014,DPD,DKI Jakarta ,Vivi Effendy
2014,DPD,DKI Jakarta ,Wahyu Raharjo
2014,DPD,Gorontalo,"Adzhar Pakaya, S.I.P, "
2014,DPD,Gorontalo,Burhan Mantulangi
2014,DPD,Gorontalo,"Dewi Sartika Hemeto, S.E. "
2014,DPD,Gorontalo,"Dr. ABD. Razak Mozin, S.Ag., M.Si"
2014,DPD,Gorontalo,Drs. A.D. Khaly
2014,DPD,Gorontalo,"Drs. Syarief Sabara, M.Si. "
2014,DPD,Gorontalo,"H. Abdurrahman Abubakar Bahmid, Lc. "
2014,DPD,Gorontalo,Hana Hasanah Vadel Muhammad 
2014,DPD,Gorontalo,"Hasan Abdullah, S.E. "
2014,DPD,Gorontalo,Herman D. Ishak
2014,DPD,Gorontalo,"Hi. Nizam Dai, S.I.Pem"
2014,DPD,Gorontalo,Hj. Carolina Kaluku
2014,DPD,Gorontalo,Hj. Rahmijati Jahja
2014,DPD,Gorontalo,Ir. Ethon Parman
2014,DPD,Gorontalo,Mohammad Taufik Dalu 
2014,DPD,Gorontalo,"Nur Hasan, S.E. "
2014,DPD,Gorontalo,"Umar Karim, S.I.P. "
2014,DPD,Jambi,"Andi Yusman, S.E"
2014,DPD,Jambi,"Anggi Purnama Harahap, S.H"
2014,DPD,Jambi,"Azman, S.H"
2014,DPD,Jambi,Azwan Herwanto
2014,DPD,Jambi,Benny Pratama Sofwan
2014,DPD,Jambi,Dra. Hj. Juniwati T. Masjchun S
2014,DPD,Jambi,Dra. Irina Safitri
2014,DPD,Jambi,"Drs. H. Asra H.D, M.Pd.I"
2014,DPD,Jambi,Drs. Zulkarnain Al-Fath
2014,DPD,Jambi,H. Abu Bakar Jamalia
2014,DPD,Jambi,"H. Indra Armendaris, S.H"
2014,DPD,Jambi,"H. Irsal Yunus, S.E., M.M"
2014,DPD,Jambi,"H. Nuzran Joher, S.Ag., M.Si"
2014,DPD,Jambi,"H. Suryadi, S.Ag."
2014,DPD,Jambi,Halilintar
2014,DPD,Jambi,"Hasbi Anshory, S.E., M.M"
2014,DPD,Jambi,"Hj. Daryati Uteng S, S.E., M.M "
2014,DPD,Jambi,"IIn Inawati, S.Pd"
2014,DPD,Jambi,"Ir. Kamil Rusdi, M.Si"
2014,DPD,Jambi,Jefri Hendrik 
2014,DPD,Jambi,Joni Ahyar
2014,DPD,Jambi,"Kemas Alfarizi Arsyad, S.E "
2014,DPD,Jambi,"Linda Astuty, S.E., M.M"
2014,DPD,Jambi,"M. Syukur, S.H"
2014,DPD,Jambi,"Mohd. Syarief Gamal, S.H., MH"
2014,DPD,Jambi,"Mohon Indrajaya, S.H"
2014,DPD,Jambi,"Muhammad Yasir Arafat, S.E"
2014,DPD,Jambi,"Sukarno, S.H"
2014,DPD,Jambi,Syahri
2014,DPD,Jambi,"Untung Susanto, S.Pd"
2014,DPD,Jambi,"Yatno, S.P"
2014,DPD,Jambi,Yopi Muthalib
2014,DPD,Jawa Barat,Asep Syaripudin
2014,DPD,Jawa Barat,Deni Jasmara
2014,DPD,Jawa Barat,Deni Saeful Hayat
2014,DPD,Jawa Barat,Djumono
2014,DPD,Jawa Barat,"Dr. H. Eman Suryaman, M.M."
2014,DPD,Jawa Barat,"Dr. H. Gunawan Undang, M.Si."
2014,DPD,Jawa Barat,"Dr. H. Suhaeli, M.Si."
2014,DPD,Jawa Barat,"Dra. Hj. R. Ella M. Girikomala, M.M.Pd."
2014,DPD,Jawa Barat,"Dra. Ir. Hj. Eni Sumarni, M.Kes"
2014,DPD,Jawa Barat,Drs. H. Asril Das
2014,DPD,Jawa Barat,"Drs. H. K. Edi Pariyadi, M.M.Pd. "
2014,DPD,Jawa Barat,Drs. H. Nu'man Abdul Hakim
2014,DPD,Jawa Barat,"Drs. H. Rukman Heryana, M.M."
2014,DPD,Jawa Barat,"Drs. H. Suharna Surapranata, MT"
2014,DPD,Jawa Barat,"Drs. H. UU Rukmana, M.Si"
2014,DPD,Jawa Barat,Drs. Odik Sodikin
2014,DPD,Jawa Barat,"Elang Raja Luqman Zulkaedin, S.H. "
