Year,Province name,Election ,Registered voters in district,Valid votes in district,Invalid votes,Candidate name,Candidate number,Candidate number of votes,Candidate elected,,,,,,,,
2024,Jambi,DPD,,,,H. ABU BAKAR JAMALIA,1,"140,945",1,,,,,,,,
2024,Jambi,DPD,,,,"DARMAWAN, S.E.",2,"66,469",,,,,,,,,
2024,Jambi,DPD,,,,"EDI ENDRA, S.P.",3,"81,128",,,,,,,,,
2024,Jambi,DPD,,,,Dra. HI. ELVIANA. M.SI,4,"291,334",1,,,,,,,,
2024,Jambi,DPD,,,,"H. ERWAN, S.E., M.Si.",5,"63,491",,,,,,,,,
2024,Jambi,DPD,,,,"HAMID, S Sos.",6,"35,118",,,,,,,,,
2024,Jambi,DPD,,,,"HERI KUSNADI, M.Kom.",7,"54,006",,,,,,,,,
2024,Jambi,DPD,,,,IVANDA AWALINA FIRDAUSI SUKANDAR,8,"272,892",1,,,,,,,,
2024,Jambi,DPD,,,,"H. LUKMAN, S.Pd., M. Pd.",9,"81,131",,,,,,,,,
2024,Jambi,DPD,,,,"M. SUM INDRA, S.E., M.M.S.I.",10,"166,140",1,,,,,,,,
2024,Jambi,DPD,,,,"H. M. SYUKUR, S.H., M.H.",11,"237,540",,,,,,,,,
2024,Jambi,DPD,,,,"H. MUHAMMAD NUH, S.Ag.",12,"37,147",,,,,,,,,
2024,Jambi,DPD,,,,"MUSMULYADI, S.H.I.",13,"19,769",,,,,,,,,
2024,Jambi,DPD,,,,PETRUS HILMAN DAPOT TUAH PURBA,14,"90,197",,,,,,,,,
2024,Jambi,DPD,,,,"RIA MAYANG SARI, S.H., M.H.",15,"108,484",,,,,,,,,
2024,Jambi,DPD,,,,"RUDI ARDIANSYAH, S.H.",16,"49,016",,,,,,,,,
2024,Jambi,DPD,,,,SABAT NASE INDALLAH JAIS,17,"15,216",,,,,,,,,
2024,Jambi,DPD,,,,"WALINI, S.I.Kom.",18,"11,452",,,,,,,,,
2024,Jawa Barat,DPD,"35,714,901","23,733,601","5,617,283",,,,,,,,,,,,
2024,Jawa Barat,DPD,,,,"AA ADE KADARISMAN, S.SoS., M.T.",1,"892,699",,,,,,,,,
2024,Jawa Barat,DPD,,,,"AANYA RINA CASMAYANTI, S.E.",2,"1,976,561",1,,,,,,,,
2024,Jawa Barat,DPD,,,,ABAS ABDUL JALIL,3,"364,954",,,,,,,,,
2024,Jawa Barat,DPD,,,,"H. ACENG HM FIKRI, S.Ag.",4,"1,128,912",,,,,,,,,
2024,Jawa Barat,DPD,,,,"H. ADIL MAKMUR SANTOSA, S.Pd., M.Si.",5,"307,365",,,,,,,,,
2024,Jawa Barat,DPD,,,,"Dr. AEP SAEPUDIN MUHTAR, M. Sos.",6,"648,891",,,,,,,,,
2024,Jawa Barat,DPD,,,,"AGITA NURFIANTI, S.Psi.",7,"1,168,837",1,,,,,,,,
2024,Jawa Barat,DPD,,,,A IRWAN BOLA,8,"548,244",,,,,,,,,
2024,Jawa Barat,DPD,,,,"AJI SAPTAJI, S.H.I., M.E.Sy.",9,"136,804",,,,,,,,,
2024,Jawa Barat,DPD,,,,ALFIANSYAH KOMENG,10,"5,399,699",1,,,,,,,,
2024,Jawa Barat,DPD,,,,"K.H. AMANG SYAFRUDIN, M.M.",11,"1,108,516",,,,,,,,,
2024,Jawa Barat,DPD,,,,"AMBU USDEK KANIAWATI, S.Sos.",12,"80,294",,,,,,,,,
2024,Jawa Barat,DPD,,,,"ANDRI PERKASA KANTAPRAWIRA, S.I.P, M.M.",13,"67,433",,,,,,,,,
2024,Jawa Barat,DPD,,,,ANNIDA ALLIVIA,14,"899,370",,,,,,,,,
2024,Jawa Barat,DPD,,,,A OGI SOS,15,"333,793",,,,,,,,,
2024,Jawa Barat,DPD,,,,ARIF RAHMAN HIDAYAT,16,"385,065",,,,,,,,,
2024,Jawa Barat,DPD,,,,A TAUPIK HIDAYAT,17,"235,323",,,,,,,,,
2024,Jawa Barat,DPD,,,,K.H. A WAWAN GHOZALI,18,"352,776",,,,,,,,,
2024,Jawa Barat,DPD,,,,"BIBEN FIKRIANA, S.Kep., Ners., M. Kep.",19,"191,997",,,,,,,,,
2024,Jawa Barat,DPD,,,,"BUDIVANTO, S.Pi.",20,"222,921",,,,,,,,,
2024,Jawa Barat,DPD,,,,"BUDIYONO, S.P.",21,"88,528",,,,,,,,,
2024,Jawa Barat,DPD,,,,DEDE AMAR,22,"557,103",,,,,,,,,
2024,Jawa Barat,DPD,,,,"DEDI RUDIANSYAH, S.T.",23,"29,729",,,,,,,,,
2024,Jawa Barat,DPD,,,,"DENDA ALAMSYAH, S.T.",24,"154,678",,,,,,,,,
2024,Jawa Barat,DPD,,,,"DENI RUSYNIADI, S.Ag.",25,"196,894",,,,,,,,,
2024,Jawa Barat,DPD,,,,DIAN RAHADIAN,26,"69,303",,,,,,,,,
2024,Jawa Barat,DPD,,,,DJUMONO,27,"195,831",,,,,,,,,
2024,Jawa Barat,DPD,,,,"EDI KUSDIANA, S.A.P., M.M.",28,"104,229",,,,,,,,,
2024,Jawa Barat,DPD,,,,Ir. ELAN HERYANTO,29,"116,126",,,,,,,,,
2024,Jawa Barat,DPD,,,,"Dra. Ir. Hj. ENI SUMARNI, M.Kes.",30,"285,179",,,,,,,,,
2024,Jawa Barat,DPD,,,,"ERNAWATY TAMPUBOLON, S.T., M.Th.",31,"257,636",,,,,,,,,
2024,Jawa Barat,DPD,,,,"Dr. HAIDAN, S.Pd.I., S.H., M.Ag.",32,"181,347",,,,,,,,,
2024,Jawa Barat,DPD,,,,"HENDRIK KURNIAWAN, S.Pd.I.",33,"156,768",,,,,,,,,
2024,Jawa Barat,DPD,,,,"Dr. Hj. IFA FAIZAH ROHMAH, M.Pd.",34,"593,202",,,,,,,,,
2024,Jawa Barat,DPD,,,,"IMAM SOLAHUDIN, S.T., S.Ag., M.Si.",35,"173,248",,,,,,,,,
2024,Jawa Barat,DPD,,,,"IMAM SUGIARTO, S.H.",36,"29,859",,,,,,,,,
2024,Jawa Barat,DPD,,,,"JAHENOS SARAGIH, S.Th., M.Th., M.M.",37,"74,750",,,,,,,,,
2024,Jawa Barat,DPD,,,,"JAJANG KURNIA, S.Sos., M.Si.",38,"362,485",,,,,,,,,
2024,Jawa Barat,DPD,,,,JIHAN FAHIRA,39,"1,823,907",1,,,,,,,,
2024,Jawa Barat,DPD,,,,MUHAMAD DAWAM,40,"158,492",,,,,,,,,
2024,Jawa Barat,DPD,,,,MUHAMMAD MURTADLOILLAH,41,"189,815",,,,,,,,,
2024,Jawa Barat,DPD,,,,"Drs. MUHAMMAD YAMIN, M.H.",42,"247,675",,,,,,,,,
2024,Jawa Barat,DPD,,,,MULYADI ELHAN ZAKARIA,43,"19,115",,,,,,,,,
2024,Jawa Barat,DPD,,,,"RIA SUGIAT, S.H.",44,"57,031",,,,,,,,,
2024,Jawa Barat,DPD,,,,RIFKI KARTINI,45,"244,244",,,,,,,,,
2024,Jawa Barat,DPD,,,,ROBBY MAULANA ZULKARNAEN,46,"52,268",,,,,,,,,
2024,Jawa Barat,DPD,,,,RUSDI HIDAYAT,47,"36,135",,,,,,,,,
2024,Jawa Barat,DPD,,,,"Dr. SITTI HIKMAWATTY, S.ST., M.Pd.",48,"138,446",,,,,,,,,
2024,Jawa Barat,DPD,,,,"Dr. Drs. SONNY HERSONA GW, M.M",49,"63,049",,,,,,,,,
2024,Jawa Barat,DPD,,,,Drs. H. SURATTO SISWODIHARDJO,50,"175,014",,,,,,,,,
2024,Jawa Barat,DPD,,,,Dr. SUROYO,51,"50,200",,,,,,,,,
2024,Jawa Barat,DPD,,,,"TEDY GIANTARA, S.T.",52,"113,324",,,,,,,,,
2024,Jawa Barat,DPD,,,,WAWAN DEDE AMUNG SUTARYA,53,"180,484",,,,,,,,,
