Year,Province name,Election,Registered voters ,Valid votes ,Invalid votes,"Candidate names, President and Vice President",Candidate pair number,Number of valid votes ,Elected to the presidency
2014,Sumatera Utara,President & Vice President,,,,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa ,1,"2,831,514",0
2014,Sumatera Utara,President & Vice President,,,,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla ,2,"3,494,835",1
2014,Luar Negeri ,President & Vice President,"2,038,711","677,857","28,734",,,,
2014,Luar Negeri ,President & Vice President,,,,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa ,1,"313,600",0
2014,Luar Negeri ,President & Vice President,,,,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla ,2,"364,257",1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
